Aardvark,"Enemy summoned","Gain +2 attack and +2 health."
Aardvark,"Enemy summoned","Gain +4 attack and +4 health."
Aardvark,"Enemy summoned","Gain +6 attack and +6 health."
"African Penguin",Buy,"Give three random friends +1 attack."
"African Penguin",Buy,"Give three random friends +2 attack."
"African Penguin",Buy,"Give three random friends +3 attack."
Alpaca,"Friend summoned","Give it +1 experience. Works 1 time per turn."
Alpaca,"Friend summoned","Give it +1 experience. Works 2 times per turn."
Alpaca,"Friend summoned","Give it +1 experience. Works 3 times per turn."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock thrice."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock twice."
Anteater,Faint,"Summon two level 1 Ants."
Anteater,Faint,"Summon two level 2 Ants."
Anteater,Faint,"Summon two level 3 Ants."
Ant,Faint,"Give one random friend +1 attack and +1 health."
Ant,Faint,"Give one random friend +2 attack and +2 health."
Ant,Faint,"Give one random friend +3 attack and +3 health."
Armadillo,"Start of battle","Give ALL pets +16 health."
Armadillo,"Start of battle","Give ALL pets +24 health."
Armadillo,"Start of battle","Give ALL pets +8 health."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to one random enemy."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to three random enemies."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to two random enemies."
Axolotl,"Friend gained perk","Give it permanent +1 attack and +1 health."
Axolotl,"Friend gained perk","Give it permanent +2 attack and +2 health."
Axolotl,"Friend gained perk","Give it permanent +3 attack and +3 health."
Baboon,"End Turn","Give one random friend from the current shop tier +1 attack and + 2 health."
Baboon,"End Turn","Give one random friend from the current shop tier +2 attack and + 4 health."
Baboon,"End Turn","Give one random friend from the current shop tier +3 attack and + 6 health."
Badger,"Before faint","Deal 100% attack damage to adjacent pets."
Badger,"Before faint","Deal 150% attack damage to adjacent pets."
Badger,"Before faint","Deal 50% attack damage to adjacent pets."
Bat,"Start of battle","Make one random enemy Weak."
Bat,"Start of battle","Make three random enemies Weak."
Bat,"Start of battle","Make two random enemies Weak."
Bear,"Before faint","Give Honey Perk to all pets that are one space away."
Bear,"Before faint","Give Honey Perk to all pets that are three spaces away."
Bear,"Before faint","Give Honey Perk to all pets that are two spaces away."
Beaver,Sell,"Give two random friends +1 attack."
Beaver,Sell,"Give two random friends +2 attack."
Beaver,Sell,"Give two random friends +3 attack."
Beetle,"Start of battle","Gain Garlic Perk."
Beetle,"Start of battle","Gain Honey Perk."
Beetle,"Start of battle","Gain Meat Bone Perk."
"Beluga Sturgeon",Faint,"Summon one 2/3 Dolphin with Rice in the back."
"Beluga Sturgeon",Faint,"Summon three 2/3 Dolphins with Rice in the back."
"Beluga Sturgeon",Faint,"Summon two 2/3 Dolphins with Rice in the back."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 1 after fainting."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 2 after fainting."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 3 after fainting."
"Betta Fish",Faint,"Give the nearest friend behind +12 attack and +6 health."
"Betta Fish",Faint,"Give the nearest friend behind +4 attack and +2 health."
"Betta Fish",Faint,"Give the nearest friend behind +8 attack and +4 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +1 attack and +1 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +2 attack and +2 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +3 attack and +3 health."
Bison,"End turn","If this has a level 3 friend, gain +1 attack and +2 health."
Bison,"End turn","If this has a level 3 friend, gain +2 attack and +4 health."
Bison,"End turn","If this has a level 3 friend, gain +3 attack and +6 health."
"Black Necked Stilt",Faint,"Gain +2 Trumpets."
"Black Necked Stilt",Faint,"Gain +4 Trumpets."
"Black Necked Stilt",Faint,"Gain +6 Trumpets."
Blobfish,"Before faint","Give the nearest friend behind +1 attack and +1 health and +1 experience."
Blobfish,"Before faint","Give the nearest friend behind +2 attack and +2 health and +2 experience."
